mab_uid,mab_name,Protein_RefID,virus_id,virus_name,Family,Organism,Species,Epitope,pubmed_id,Target Protein,Target type,Target,Target name,Assay type,Assay,Quantitative measure,Unit,disease_id,disease_name
11_2A10G6,2A10G6,PDB: 5JHL,11089,YFV,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",YFV,"Envelope protein E, Fusion loop domain (98-DRXW-101)"," 27158114,  21264311","Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile virus (WNV), UniProt: A0A0X9QZM7 Zika virus (ZIKV), ","Genome polyprotein, Envelope protein E",Neutralization,PRNT50,3.6,μg/ml,X-TBD,X-TBD
12_2A10G6,2A10G6,PDB: 5JHL,11082,WNV,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",WNV,"Envelope protein E, Fusion loop domain (98-DRXW-101)"," 27158114,  21264311","Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile virus (WNV), UniProt: A0A0X9QZM7 Zika virus (ZIKV), ","Genome polyprotein, Envelope protein E",Neutralization,PRNT50,46,μg/ml,W-TBD,W-TBD
13_2B7 Fab,2B7 Fab,"PDB: 6WEQ, PDB: 7K93",11053,DENV1,Flavivirus,"dengue virus type 1, dengue virus type 2",DENV,"NS1, Non-structural protein 1"," 26355030,  33414220","POLY, Core protein",Protein,"UniProt: Q9J7C6 dengue virus type 1, UniProt: D0EPS0 dengue virus type 2, ","POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
14_2B7 scFv,2B7 scFv,"PDB: 6WEQ, PDB: 7K93",11053,DENV1,Flavivirus,"dengue virus type 1, dengue virus type 2",DENV,"NS1, Non-structural protein 1"," 26355030,  33414220","POLY, Core protein",Protein,"UniProt: Q9J7C6 dengue virus type 1, UniProt: D0EPS0 dengue virus type 2, ","POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
15_2B7 Fab,2B7 Fab,"PDB: 6WEQ, PDB: 7K93",11060,DENV2,Flavivirus,"dengue virus type 1, dengue virus type 2",DENV,"NS1, Non-structural protein 1"," 26355030,  33414220","POLY, Core protein",Protein,"UniProt: Q9J7C6 dengue virus type 1, UniProt: D0EPS0 dengue virus type 2, ","POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
16_2B7 scFv,2B7 scFv,"PDB: 6WEQ, PDB: 7K93",11060,DENV2,Flavivirus,"dengue virus type 1, dengue virus type 2",DENV,"NS1, Non-structural protein 1"," 26355030,  33414220","POLY, Core protein",Protein,"UniProt: Q9J7C6 dengue virus type 1, UniProt: D0EPS0 dengue virus type 2, ","POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
17_6B6C-1,6B6C-1,,11080,SLEV,Flavivirus,St. louis encephalitis virus (strain MS1-7),SLEV,Envelope protein E," 19297614,  6198396","Genome polyprotein, Envelope protein E",Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),"Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot",,,X-TBD,X-TBD
18_6B6C-1,6B6C-1,,11089,YFV,Flavivirus,St. louis encephalitis virus (strain MS1-7),YFV,Envelope protein E," 19297614,  6198396","Genome polyprotein, Envelope protein E",Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),"Genome polyprotein, Envelope protein E, This antibody recognizes multiple members of the flavivirus genus, including dengue virus (DENV), West Nile virus (WNV), yellow fever virus (YFV), Japanese encephalitis virus (JEV), and St. Louis encephalitis virus (SLEV).",Binding,"ELISA, Western blot",,,X-TBD,X-TBD
19_6B6C-1,6B6C-1,,11082,WNV,Flavivirus,St. louis encephalitis virus (strain MS1-7),WNV,Envelope protein E," 19297614,  6198396","Genome polyprotein, Envelope protein E",Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),"Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot",,,W-TBD,W-TBD
20_747(4)A11,747(4)A11,"PDB: 5LCV,  5N09, 4UT7",11060,DENV2,Flavivirus,"Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Dengue virus type 2 (strain Jamaica/1409/1983) (DENV-2), dengue virus type 2",DENV,"Envelope protein E, E dimer-dependent epitope 2 (EDE2)"," 28534525,  25501631,  25581790","Genome polyprotein, Envelope protein E",protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot, X-ray crystallography",,,DOID:12205,DOID:12205
21_747(4)B7,747(4)B7,PDB: 4UT6,11060,DENV2,Flavivirus,Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),DENV,"Envelope protein E, E dimer-dependent epitope 2 (EDE2)"," 25501631,  25581790","Genome polyprotein, Envelope protein E",protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot, X-ray crystallography",,,DOID:12205,DOID:12205
22_752_2C8,752_2C8,PDB: 4UTA,11060,DENV2,Flavivirus,Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),DENV,"Envelope protein E, E dimer-dependent epitope 1 (EDE1)"," 25501631,  25581790","Genome polyprotein, Envelope protein E",protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot, X-ray crystallography",,,DOID:12205,DOID:12205
23_753(3)C10,753(3)C10,"PDB: 4UT9, PDB: 5H30",64320,ZIKV,Flavivirus,"Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)",ZIKV,"Envelope protein E, E dimer-dependent epitope 1 (EDE1)"," 27882950,  25501631,  25581790","Genome polyprotein, Envelope protein E",Protein,"UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)","Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot, X-ray crystallography",,,Z-TBD,Z-TBD
24_753(3)C10,753(3)C10,PDB: 4UT9,11060,DENV2,Flavivirus,"Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)",DENV,"Envelope protein E, E dimer-dependent epitope 1 (EDE1)"," 27882950,  25501631,  25581790","Genome polyprotein, Envelope protein E",protein,"UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)","Genome polyprotein, Envelope protein E",Binding,"ELISA, Western blot, X-ray crystallography",,,DOID:12205,DOID:12205
25_anti_DENV-1F4,anti_DENV-1F4,PDB: 4C2I,11053,DENV1,Flavivirus,"Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1), dengue virus type 1",DENV,Envelope protein E,24421336,"Genome polyprotein, Envelope protein E",Protein,"UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1), UniProt: G3F5K5 dengue virus type 1","Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
26_anti_DENV-2D22,anti_DENV-2D22,PDB: 4UIH,11060,DENV2,Flavivirus,"dengue virus type 2, Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Dengue virus type 2 (isolate Thailand/0168/1979) (DENV-2)",DENV,Envelope protein E,26138979,"Genome polyprotein, Envelope protein E",Protein,"UniProt: E0WXJ2 dengue virus type 2, UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2)","Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
27_anti_DENV-E104,anti_DENV-E104,PDB: 3J8D,11060,DENV2,Flavivirus,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),DENV,"Envelope protein E, DIII C-C_ loop",25355881,"Genome polyprotein, Envelope protein E",Protein,UniProt: P29990 Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
28_anti-DENV 1C19,anti-DENV 1C19,Addgene: 120363,11053,DENV1,Flavivirus,"Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1), Dengue virus type 2 (strain Jamaica/1409/1983) (DENV-2), Dengue virus type 3 (strain Philippines/H87/1956) (DENV-3), Dengue virus type 4 (strain Dominica/814669/1981) (DENV-4)",DENV,"Envelope protein E (DII-FL region), This antibody neutralizes DENV strains corresponding to all four serotypes."," 31945137,  24255124","Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
29_anti-DENV-10_50-11E-H1L1,anti-DENV-10_50-11E-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
30_anti-DENV-10_50-1B-H1L1,anti-DENV-10_50-1B-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
31_anti-DENV-10_50-1D-H8L1,anti-DENV-10_50-1D-H8L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
32_anti-DENV-10_50-3H-H1L1,anti-DENV-10_50-3H-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
33_anti-DENV-10_50-4B-H2L1,anti-DENV-10_50-4B-H2L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
34_anti-DENV-10_50-5D-H6L2,anti-DENV-10_50-5D-H6L2,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
35_anti-DENV-10_50-6E-H2L2,anti-DENV-10_50-6E-H2L2,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
36_anti-DENV-10_50-7A-H1L1,anti-DENV-10_50-7A-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
37_anti-DENV-10_50-7E-H1L1,anti-DENV-10_50-7E-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
38_anti-DENV-10_50-7H-H1L1,anti-DENV-10_50-7H-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
39_anti-DENV-10_50-9E-H2L2,anti-DENV-10_50-9E-H2L2,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
40_anti-DENV-10_63-2C-H3L2,anti-DENV-10_63-2C-H3L2,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
41_anti-DENV-10_63-2F-H1L3,anti-DENV-10_63-2F-H1L3,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
42_anti-DENV-10_63-5A-H6L1,anti-DENV-10_63-5A-H6L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
43_anti-DENV-10_63-5D-H1L2,anti-DENV-10_63-5D-H1L2,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
44_anti-DENV-10_63-6C-H1L1,anti-DENV-10_63-6C-H1L1,,11053,DENV1,Flavivirus,Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),DENV,Envelope protein E,27707930,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
45_anti-DENV-5A12,anti-DENV-5A12,,11053,DENV1,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),71,μg/ml,DOID:12205,DOID:12205
46_anti-DENV-5A12,anti-DENV-5A12,,11060,DENV2,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),58,μg/ml,DOID:12205,DOID:12205
47_anti-DENV-5A12,anti-DENV-5A12,,11069,DENV3,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),32,μg/ml,DOID:12205,DOID:12205
48_anti-DENV-5A12,anti-DENV-5A12,,11070,DENV4,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,UniProt: Q7TGC7 dengue virus type 4,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),187,μg/ml,DOID:12205,DOID:12205
49_anti-DENV-5C30,anti-DENV-5C30,,11053,DENV1,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),67,μg/ml,DOID:12205,DOID:12205
50_anti-DENV-5C30,anti-DENV-5C30,,11060,DENV2,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),106,μg/ml,DOID:12205,DOID:12205
51_anti-DENV-5C30,anti-DENV-5C30,,11069,DENV3,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),200,μg/ml,DOID:12205,DOID:12205
52_anti-DENV-5C30,anti-DENV-5C30,,11070,DENV4,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,UniProt: Q7TGC7 dengue virus type 4,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),200,μg/ml,DOID:12205,DOID:12205
53_anti-DENV-5E7,anti-DENV-5E7,,11053,DENV1,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),21,μg/ml,DOID:12205,DOID:12205
54_anti-DENV-5E7,anti-DENV-5E7,,11060,DENV2,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),24,μg/ml,DOID:12205,DOID:12205
55_anti-DENV-5E7,anti-DENV-5E7,,11069,DENV3,,,,aa 309–320,23851440,,protein,,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),23,μg/ml,DOID:12205,DOID:12205
56_anti-DENV-5E7,anti-DENV-5E7,,11070,DENV4,Flavivirus,dengue virus type 4,DENV,aa 309–320,23851440,"Genome polyprotein, Envelope protein E",protein,UniProt: Q7TGC7 dengue virus type 4,"Genome polyprotein, Envelope protein E",Neutralization,ELISPOT-MNT (IC50),27,μg/ml,DOID:12205,DOID:12205
